"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C01: Add valid product — cart_id > 0, products_total >= 1","0"
"0","Hasaki.vn API Testing","0","Authentication","5","0","TC-L03: Invalid credentials — error_code != 0, no token issued","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F03: Filter values structure — key/label/value all present, product count >= 0","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S08: Non-existent keyword — error_code=0, empty result","0"
"0","Hasaki.vn API Testing","1","Add To Cart","0","0","TC-C09: [E2E] Filter → Search → Add first result to cart","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F01: Valid keyword — at least 1 filter returned","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F07: Non-existent keyword — error_code=0, empty/null filter list","0"
"0","Hasaki.vn API Testing","0","Add To Cart","1","0","TC-C04: Negative product_id — error_code != 0, no cart_id","0"
"0","Hasaki.vn API Testing","0","Search","1","0","TC-S01: Valid keyword — products returned","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D05: Negative product_id — error_code != 0","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F02: Filter item structure — key/name/type/sort_order/values all present","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D02: Deleted product absent from remaining cart — grand_total >= 0","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D13: [E2E] Add → Delete → verify cart state","0"
"0","Hasaki.vn API Testing","0","Product Filter","1","0","TC-F11: Filter key used as search param — search returns valid results","0"
"0","Hasaki.vn API Testing","0","Delete Item In Cart","1","0","TC-D01: Delete valid product — error_code=0, response structure correct","0"
"0","Hasaki.vn API Testing","1","Authentication","0","0","TC-L01: Valid credentials","0"
