"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Cart updates are triggered by the user changing the quantity stepper. Slow responses here cause UI spinner delays on a high-interaction component. Must complete within 3000ms.","1097","TC_U15_UpdateCartResponseTime","[PERFORMANCE] Hasaki.vn API - Response Time SLA","Mon May 25 14:19:10 UTC 2026","passed","Mon May 25 14:19:11 UTC 2026","com.testScenarios.UpdateCartTest","Performance - Cart Endpoints","com.testScenarios.UpdateCartTest","TC_U15_UpdateCartResponseTime"
"Core smoke test: searching with a known valid keyword must return error_code=0, products_total > 0, a non-empty product list, and a list size that does not exceed the requested page size.","678","TC_S01_SearchWithValidKeyword","[SMOKE] Hasaki.vn API","Mon May 25 14:23:53 UTC 2026","failed","Mon May 25 14:23:54 UTC 2026","com.testScenarios.SearchTest","Smoke - Search","com.testScenarios.SearchTest","TC_S01_SearchWithValidKeyword"
"Data-driven: each row in LoginInvalidData.json (wrong password, empty fields, unknown username, special chars) must produce error_code != 0 and null verify_token. Covers all credential failure modes in one parameterised test.","394","TC_L03_LoginWithInvalidCredentials","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:07 UTC 2026","passed","Mon May 25 14:31:07 UTC 2026","com.testScenarios.LoginTest","Negative - Login Validation","com.testScenarios.LoginTest","TC_L03_LoginWithInvalidCredentials"
"Parameterised negative test: each row in SearchInvalidData.json contains a keyword that must produce 0 matching products (gibberish strings, impossible combinations). Server must still return error_code=0 with an empty result set — not an error.","540","TC_S21_DataDriven_InvalidKeywords","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:23 UTC 2026","passed","Mon May 25 14:46:23 UTC 2026","com.testScenarios.SearchTest","Data-Driven - Search (Valid + Invalid Keywords)","com.testScenarios.SearchTest","TC_S21_DataDriven_InvalidKeywords"
"Sends a valid session but with a tampered form_key (CSRF token). Related to SEC-001 — if server ignores the CSRF check, the update may succeed even with an invalid token. Test must not 5xx; documents the finding in logs.","247","TC_U13_InvalidCsrfToken","[SECURITY] Hasaki.vn API","Mon May 25 14:21:52 UTC 2026","passed","Mon May 25 14:21:52 UTC 2026","com.testScenarios.UpdateCartTest","Security - Cart Authorization","com.testScenarios.UpdateCartTest","TC_U13_InvalidCsrfToken"
"Parameterised positive test: each row in UpdateCartData.json provides a product id and quantity. ensureInCart() is called per row to guarantee the product is present. Every combination must return error_code=0 with a non-null data block.","1304","TC_U20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:34 UTC 2026","passed","Mon May 25 14:46:35 UTC 2026","com.testScenarios.UpdateCartTest","Data-Driven - Update Cart (Multiple Scenarios)","com.testScenarios.UpdateCartTest","TC_U20_DataDriven_ValidData"
"qty=0 is a boundary value: some implementations treat it as a delete. Either interpretation is acceptable (error_code 0 or non-zero), but a 5xx is not. error_code must always be present in the response.","520","TC_U09_ZeroQuantity","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:21 UTC 2026","passed","Mon May 25 14:31:22 UTC 2026","com.testScenarios.UpdateCartTest","Negative - Update Cart Validation","com.testScenarios.UpdateCartTest","TC_U09_ZeroQuantity"
"Sends size=5 and verifies the server honours the cap. Prevents regressions where the size param is silently ignored and the server falls back to a default large page.","381","TC_S05_CustomPageSizeRespected","[SANITY] Hasaki.vn API","Mon May 25 14:20:58 UTC 2026","passed","Mon May 25 14:20:58 UTC 2026","com.testScenarios.SearchTest","Sanity - Search (Positive only)","com.testScenarios.SearchTest","TC_S05_CustomPageSizeRespected"
"Sends a delete request with no session cookies. An unauthenticated delete that succeeds is a critical authorisation bypass — any anonymous caller could empty another user's cart. Must return 401/403/302 or HTTP 200 with error_code != 0.","232","TC_D11_UnauthenticatedRequest","[SECURITY] Hasaki.vn API","Mon May 25 14:21:52 UTC 2026","passed","Mon May 25 14:21:52 UTC 2026","com.testScenarios.DeleteItemInCartTest","Security - Cart Authorization","com.testScenarios.DeleteItemInCartTest","TC_D11_UnauthenticatedRequest"
"product_id=-999 is an impossible value and must be rejected. Server must return error_code != 0 with a non-empty error_message — never a 5xx from unvalidated DB lookup.","259","TC_U06_NegativeProductId","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:21 UTC 2026","passed","Mon May 25 14:31:21 UTC 2026","com.testScenarios.UpdateCartTest","Negative - Update Cart Validation","com.testScenarios.UpdateCartTest","TC_U06_NegativeProductId"
"A search that matches zero products should still return HTTP 200 with error_code=0 but an empty products list and products_total=0. Ensures no false error is raised for valid requests with no matches.","603","TC_S08_NonExistentKeywordReturnsEmpty","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:11 UTC 2026","passed","Mon May 25 14:31:12 UTC 2026","com.testScenarios.SearchTest","Negative - Search Validation","com.testScenarios.SearchTest","TC_S08_NonExistentKeywordReturnsEmpty"
"product_id=9999999 is a positive integer but does not exist in the catalogue. Server must look it up and return a meaningful error — not silently succeed or crash with a 5xx.","316","TC_C05_NonExistentProductId","[NEGATIVE] Hasaki.vn API - Error Handling & Validation","Mon May 25 14:31:18 UTC 2026","passed","Mon May 25 14:31:18 UTC 2026","com.testScenarios.AddToCartTest","Negative - Add To Cart Validation","com.testScenarios.AddToCartTest","TC_C05_NonExistentProductId"
"Sends a valid session but with a tampered form_key (CSRF token). If the server accepts the delete despite an invalid CSRF token, the SEC-001 gap applies to delete operations as well. Must not 5xx; logs the finding for security review.","232","TC_D12_InvalidCsrfToken","[SECURITY] Hasaki.vn API","Mon May 25 14:21:52 UTC 2026","passed","Mon May 25 14:21:53 UTC 2026","com.testScenarios.DeleteItemInCartTest","Security - Cart Authorization","com.testScenarios.DeleteItemInCartTest","TC_D12_InvalidCsrfToken"
"Iterates every item in data.products and asserts that the five mandatory display fields (id, sku, name, price, image) are all non-null, and that id is a positive integer. Catches field removal or renaming regressions.","610","TC_S02_VerifyProductFieldsAndIdPositive","[SANITY] Hasaki.vn API","Mon May 25 14:20:56 UTC 2026","passed","Mon May 25 14:20:56 UTC 2026","com.testScenarios.SearchTest","Sanity - Search (Positive only)","com.testScenarios.SearchTest","TC_S02_VerifyProductFieldsAndIdPositive"
"Parameterised positive test: each row in AddToCartData.json provides a product id and quantity. Every combination must return error_code=0, a positive cart_id, and products_total >= 1. Covers multiple product types and boundary quantities.","851","TC_C20_DataDriven_ValidData","[DATA-DRIVEN] Hasaki.vn API - JSON Data Provider Tests","Mon May 25 14:46:27 UTC 2026","passed","Mon May 25 14:46:28 UTC 2026","com.testScenarios.AddToCartTest","Data-Driven - Add To Cart (Multiple Products/Quantities)","com.testScenarios.AddToCartTest","TC_C20_DataDriven_ValidData"
